Station;
Date;16.09.25
Time;21:57:05
Workpiece;
Tool;01
Application;02
Min. Total Angle;-3211
Max. Total Angle;9
Angle;Torque;Window ID
0,00;0,04
1,00;0,04
2,00;0,04
3,00;0,04
4,00;0,04
5,00;0,04
6,00;0,07
7,00;0,07
8,00;0,07
9,00;0,04
10,00;0,04
11,00;0,04
12,00;0,07
13,00;0,07
14,00;0,07
15,00;0,07
16,00;0,07
17,00;0,07
18,00;0,07
19,00;0,04
20,00;0,07
21,00;0,07
22,00;0,07
23,00;0,07
24,00;0,07
25,00;0,07
26,00;0,07
27,00;0,07
28,00;0,07
29,00;0,11
30,00;0,11
31,00;0,07
32,00;0,04
33,00;0,07
34,00;0,07
35,00;0,07
36,00;0,07
37,00;0,07
38,00;0,11
39,00;0,07
40,00;0,11
41,00;0,07
42,00;0,11
43,00;0,07
44,00;0,04
45,00;0,04
46,00;0,07
47,00;0,07
48,00;0,07
49,00;0,11
50,00;0,11
51,00;0,07
52,00;0,11
53,00;0,07
54,00;0,15
55,00;0,11
56,00;0,11
57,00;0,04
58,00;0,04
59,00;0,04
60,00;0,04
61,00;0,11
62,00;0,11
63,00;0,15
64,00;0,15
65,00;0,15
66,00;0,18
67,00;0,18
68,00;0,15
69,00;0,11
70,00;0,07
71,00;0,15
72,00;0,00
73,00;0,04
74,00;0,11
75,00;0,15
76,00;0,15
77,00;0,15
78,00;0,18
79,00;0,18
80,00;0,22
81,00;0,15
82,00;0,15
83,00;0,18
84,00;0,11
85,00;0,07
86,00;0,07
87,00;0,11
88,00;0,15
89,00;0,15
90,00;0,18
91,00;0,15
92,00;0,15
93,00;0,15
94,00;0,15
95,00;0,11
96,00;0,11
97,00;0,07
98,00;0,07
99,00;0,04
100,00;0,04
101,00;0,11
102,00;0,15
103,00;0,15
104,00;0,15
105,00;0,15
106,00;0,11
107,00;0,11
108,00;0,11
109,00;0,11
110,00;0,07
111,00;0,00
112,00;0,04
113,00;0,00
114,00;0,04
115,00;0,07
116,00;0,07
117,00;0,11
118,00;0,11
119,00;0,11
120,00;0,11
121,00;0,15
122,00;0,00
123,00;0,00
124,00;0,00
125,00;0,04
126,00;0,04
127,00;0,07
128,00;0,07
129,00;0,07
130,00;0,15
131,00;0,11
132,00;0,15
133,00;0,15
134,00;0,15
135,00;0,04
136,00;0,04
137,00;0,04
138,00;0,04
139,00;0,04
140,00;0,07
141,00;0,07
142,00;0,07
143,00;0,07
144,00;0,11
145,00;0,11
146,00;0,15
147,00;0,07
148,00;0,07
149,00;0,04
150,00;0,04
151,00;0,00
152,00;0,00
153,00;0,00
154,00;0,07
155,00;0,15
156,00;0,15
157,00;0,11
158,00;0,11
159,00;0,11
160,00;0,11
161,00;0,07
162,00;0,04
163,00;0,04
164,00;0,04
165,00;0,04
166,00;0,04
167,00;0,04
168,00;0,15
169,00;0,11
170,00;0,11
171,00;0,11
172,00;0,15
173,00;0,11
174,00;0,15
175,00;0,00
176,00;0,00
177,00;0,00
178,00;0,00
179,00;0,00
180,00;0,04
181,00;0,11
182,00;0,11
183,00;0,11
184,00;0,11
185,00;0,15
186,00;0,15
187,00;0,07
188,00;0,07
189,00;0,07
190,00;-0,04
191,00;-0,04
192,00;0,04
193,00;0,07
194,00;0,07
195,00;0,07
196,00;0,11
197,00;0,15
198,00;0,15
199,00;0,11
200,00;0,04
201,00;0,04
202,00;0,07
203,00;0,00
204,00;0,00
205,00;0,04
206,00;0,04
207,00;0,07
208,00;0,15
209,00;0,07
210,00;0,15
211,00;0,15
212,00;0,15
213,00;0,07
214,00;0,11
215,00;0,04
216,00;0,00
217,00;0,00
218,00;0,00
219,00;0,04
220,00;0,11
221,00;0,11
222,00;0,18
223,00;0,18
224,00;0,15
225,00;0,15
226,00;0,11
227,00;0,11
228,00;0,07
229,00;0,04
230,00;-0,04
231,00;0,00
232,00;0,07
233,00;0,04
234,00;0,15
235,00;0,15
236,00;0,15
237,00;0,15
238,00;0,18
239,00;0,11
240,00;0,11
241,00;0,07
242,00;0,00
243,00;0,04
244,00;0,04
245,00;0,07
246,00;0,07
247,00;0,15
248,00;0,11
249,00;0,11
250,00;0,15
251,00;0,15
252,00;0,15
253,00;0,07
254,00;0,07
255,00;0,04
256,00;0,00
257,00;0,00
258,00;0,07
259,00;0,04
260,00;0,11
261,00;0,11
262,00;0,11
263,00;0,11
264,00;0,07
265,00;0,11
266,00;0,07
267,00;0,04
268,00;0,00
269,00;-0,04
270,00;0,00
271,00;0,07
272,00;0,07
273,00;0,11
274,00;0,07
275,00;0,15
276,00;0,15
277,00;0,11
278,00;0,11
279,00;0,07
280,00;0,07
281,00;-0,04
282,00;0,00
283,00;0,00
284,00;0,04
285,00;0,04
286,00;0,11
287,00;0,15
288,00;0,11
289,00;0,15
290,00;0,11
291,00;0,15
292,00;0,07
293,00;0,07
294,00;0,07
295,00;0,04
296,00;0,00
297,00;0,00
298,00;0,04
299,00;0,07
300,00;0,11
301,00;0,11
302,00;0,11
303,00;0,11
304,00;0,18
305,00;0,11
306,00;0,07
307,00;0,04
308,00;0,00
309,00;0,00
310,00;0,04
311,00;0,11
312,00;0,11
313,00;0,07
314,00;0,07
315,00;0,15
316,00;0,15
317,00;0,15
318,00;0,18
319,00;0,15
320,00;0,04
321,00;-0,04
322,00;-0,04
323,00;0,07
324,00;0,07
325,00;0,11
326,00;0,11
327,00;0,15
328,00;0,11
329,00;0,15
330,00;0,11
331,00;0,07
332,00;0,07
333,00;0,11
334,00;0,00
335,00;0,00
336,00;0,00
337,00;0,07
338,00;0,07
339,00;0,07
340,00;0,07
341,00;0,15
342,00;0,15
343,00;0,18
344,00;0,11
345,00;0,07
346,00;0,04
347,00;0,00
348,00;0,00
349,00;0,00
350,00;0,07
351,00;0,07
352,00;0,07
353,00;0,11
354,00;0,11
355,00;0,11
356,00;0,11
357,00;0,11
358,00;0,11
359,00;0,00
360,00;0,00
361,00;-0,04
362,00;0,00
363,00;0,00
364,00;0,07
365,00;0,07
366,00;0,15
367,00;0,15
368,00;0,07
369,00;0,11
370,00;0,15
371,00;0,07
372,00;0,04
373,00;-0,04
374,00;-0,04
375,00;0,00
376,00;0,07
377,00;0,07
378,00;0,11
379,00;0,11
380,00;0,11
381,00;0,15
382,00;0,15
383,00;0,07
384,00;0,07
385,00;0,11
386,00;0,07
387,00;0,00
388,00;0,04
389,00;0,04
390,00;0,11
391,00;0,15
392,00;0,11
393,00;0,11
394,00;0,15
395,00;0,22
396,00;0,15
397,00;0,07
398,00;0,07
399,00;0,04
400,00;-0,04
401,00;0,04
402,00;0,07
403,00;0,07
404,00;0,11
405,00;0,11
406,00;0,15
407,00;0,15
408,00;0,15
409,00;0,15
410,00;0,07
411,00;0,07
412,00;0,04
413,00;0,00
414,00;0,00
415,00;0,07
416,00;0,07
417,00;0,07
418,00;0,07
419,00;0,15
420,00;0,11
421,00;0,15
422,00;0,15
423,00;0,11
424,00;0,07
425,00;0,11
426,00;0,00
427,00;0,00
428,00;0,04
429,00;0,07
430,00;0,11
431,00;0,15
432,00;0,11
433,00;0,11
434,00;0,15
435,00;0,11
436,00;0,07
437,00;0,07
438,00;0,07
439,00;0,04
440,00;0,00
441,00;-0,04
442,00;0,07
443,00;0,07
444,00;0,11
445,00;0,07
446,00;0,07
447,00;0,11
448,00;0,15
449,00;0,04
450,00;0,07
451,00;0,00
452,00;0,00
453,00;0,00
454,00;0,00
455,00;0,07
456,00;0,07
457,00;0,11
458,00;0,11
459,00;0,11
460,00;0,11
461,00;0,15
462,00;0,15
463,00;0,04
464,00;0,04
465,00;0,04
466,00;-0,04
467,00;0,00
468,00;0,11
469,00;0,15
470,00;0,11
471,00;0,11
472,00;0,07
473,00;0,15
474,00;0,15
475,00;0,11
476,00;0,07
477,00;0,04
478,00;0,04
479,00;-0,07
480,00;0,00
481,00;0,04
482,00;0,07
483,00;0,11
484,00;0,11
485,00;0,11
486,00;0,22
487,00;0,15
488,00;0,15
489,00;0,11
490,00;0,07
491,00;0,04
492,00;0,00
493,00;0,04
494,00;0,04
495,00;0,15
496,00;0,11
497,00;0,11
498,00;0,15
499,00;0,15
500,00;0,15
501,00;0,11
502,00;0,11
503,00;0,11
504,00;0,04
505,00;0,00
506,00;0,00
507,00;0,07
508,00;0,11
509,00;0,11
510,00;0,11
511,00;0,18
512,00;0,07
513,00;0,15
514,00;0,15
515,00;0,11
516,00;0,07
517,00;0,07
518,00;0,04
519,00;0,07
520,00;0,07
521,00;0,07
522,00;0,15
523,00;0,15
524,00;0,15
525,00;0,18
526,00;0,15
527,00;0,15
528,00;0,11
529,00;0,07
530,00;0,07
531,00;0,07
532,00;0,04
533,00;0,07
534,00;0,11
535,00;0,11
536,00;0,15
537,00;0,11
538,00;0,15
539,00;0,15
540,00;0,07
541,00;0,07
542,00;0,07
543,00;0,00
544,00;0,00
545,00;0,07
546,00;0,00
547,00;0,11
548,00;0,11
549,00;0,11
550,00;0,15
551,00;0,15
552,00;0,18
553,00;0,18
554,00;0,15
555,00;0,07
556,00;0,04
557,00;0,00
558,00;0,04
559,00;0,04
560,00;0,04
561,00;0,04
562,00;0,15
563,00;0,15
564,00;0,15
565,00;0,15
566,00;0,15
567,00;0,15
568,00;0,11
