Station;
Date;16.09.25
Time;21:55:07
Workpiece;
Tool;01
Application;02
Min. Total Angle;-3471
Max. Total Angle;11
Angle;Torque;Window ID
0,00;0,07
1,00;0,07
2,00;0,11
3,00;0,15
4,00;0,11
5,00;0,07
6,00;0,11
7,00;0,11
8,00;0,11
9,00;0,15
10,00;0,15
11,00;0,15
12,00;0,11
13,00;0,11
14,00;0,15
15,00;0,15
16,00;0,15
17,00;0,15
18,00;0,15
19,00;0,15
20,00;0,07
21,00;0,11
22,00;0,15
23,00;0,18
24,00;0,18
25,00;0,15
26,00;0,11
27,00;0,15
28,00;0,15
29,00;0,18
30,00;0,15
31,00;0,15
32,00;0,11
33,00;0,11
34,00;0,07
35,00;0,11
36,00;0,11
37,00;0,18
38,00;0,11
39,00;0,11
40,00;0,15
41,00;0,15
42,00;0,11
43,00;0,18
44,00;0,11
45,00;0,11
46,00;0,07
47,00;0,07
48,00;0,07
49,00;0,15
50,00;0,15
51,00;0,11
52,00;0,11
53,00;0,11
54,00;0,11
55,00;0,15
56,00;0,18
57,00;0,07
58,00;0,07
59,00;0,07
60,00;0,07
61,00;0,07
62,00;0,11
63,00;0,07
64,00;0,11
65,00;0,15
66,00;0,15
67,00;0,15
68,00;0,18
69,00;0,18
70,00;0,15
71,00;0,07
72,00;0,11
73,00;0,07
74,00;0,04
75,00;0,11
76,00;0,11
77,00;0,11
78,00;0,11
79,00;0,11
80,00;0,15
81,00;0,15
82,00;0,15
83,00;0,11
84,00;0,11
85,00;0,11
86,00;0,04
87,00;0,07
88,00;0,07
89,00;0,07
90,00;0,15
91,00;0,15
92,00;0,15
93,00;0,15
94,00;0,18
95,00;0,15
96,00;0,15
97,00;0,15
98,00;0,04
99,00;0,04
100,00;0,04
101,00;0,04
102,00;0,11
103,00;0,11
104,00;0,15
105,00;0,15
106,00;0,11
107,00;0,18
108,00;0,15
109,00;0,15
110,00;0,07
111,00;0,07
112,00;0,04
113,00;0,04
114,00;0,07
115,00;0,07
116,00;0,11
117,00;0,07
118,00;0,07
119,00;0,11
120,00;0,15
121,00;0,15
122,00;0,15
123,00;0,07
124,00;0,07
125,00;0,07
126,00;0,04
127,00;0,04
128,00;0,07
129,00;0,07
130,00;0,07
131,00;0,15
132,00;0,15
133,00;0,15
134,00;0,15
135,00;0,07
136,00;0,07
137,00;0,07
138,00;0,07
139,00;0,07
140,00;0,07
141,00;0,07
142,00;0,11
143,00;0,15
144,00;0,15
145,00;0,15
146,00;0,11
147,00;0,11
148,00;0,11
149,00;0,07
150,00;0,15
151,00;0,04
152,00;0,00
153,00;0,07
154,00;0,07
155,00;0,11
156,00;0,11
157,00;0,11
158,00;0,15
159,00;0,15
160,00;0,15
161,00;0,15
162,00;0,11
163,00;0,11
164,00;0,00
165,00;0,00
166,00;0,04
167,00;0,07
168,00;0,07
169,00;0,18
170,00;0,18
171,00;0,15
172,00;0,11
173,00;0,18
174,00;0,11
175,00;0,07
176,00;0,07
177,00;0,07
178,00;0,04
179,00;0,00
180,00;0,00
181,00;0,07
182,00;0,07
183,00;0,15
184,00;0,07
185,00;0,07
186,00;0,15
187,00;0,11
188,00;0,11
189,00;0,11
190,00;0,04
191,00;-0,04
192,00;0,00
193,00;0,00
194,00;0,07
195,00;0,11
196,00;0,11
197,00;0,15
198,00;0,15
199,00;0,11
200,00;0,11
201,00;0,11
202,00;0,07
203,00;0,00
204,00;0,00
205,00;-0,04
206,00;0,00
207,00;0,00
208,00;0,07
209,00;0,07
210,00;0,11
