Station;
Date;16.09.25
Time;21:55:26
Workpiece;
Tool;01
Application;02
Min. Total Angle;-3491
Max. Total Angle;10
Angle;Torque;Window ID
0,00;0,04
1,00;0,04
2,00;0,04
3,00;0,07
4,00;0,07
5,00;0,11
6,00;0,11
7,00;0,11
8,00;0,07
9,00;0,07
10,00;0,07
11,00;0,07
12,00;0,11
13,00;0,07
14,00;0,11
15,00;0,11
16,00;0,11
17,00;0,07
18,00;0,07
19,00;0,07
20,00;0,04
21,00;0,07
22,00;0,07
23,00;0,15
24,00;0,11
25,00;0,07
26,00;0,11
27,00;0,15
28,00;0,15
29,00;0,11
30,00;0,07
31,00;0,11
32,00;0,11
33,00;0,07
34,00;0,11
35,00;0,15
36,00;0,11
37,00;0,15
38,00;0,07
39,00;0,11
40,00;0,15
41,00;0,11
42,00;0,15
43,00;0,11
44,00;0,11
45,00;0,11
46,00;0,07
47,00;0,07
48,00;0,15
49,00;0,15
50,00;0,18
51,00;0,15
52,00;0,18
53,00;0,15
54,00;0,15
55,00;0,11
56,00;0,15
57,00;0,07
58,00;0,07
59,00;0,07
60,00;0,07
61,00;0,11
62,00;0,15
63,00;0,15
64,00;0,15
65,00;0,15
66,00;0,18
67,00;0,15
68,00;0,15
69,00;0,15
70,00;0,11
71,00;0,04
72,00;0,07
73,00;0,07
74,00;0,15
75,00;0,15
76,00;0,15
77,00;0,15
78,00;0,15
79,00;0,18
80,00;0,15
81,00;0,15
82,00;0,15
83,00;0,15
84,00;0,07
85,00;0,04
86,00;0,04
87,00;0,11
88,00;0,11
89,00;0,15
90,00;0,11
91,00;0,18
92,00;0,18
93,00;0,15
94,00;0,15
95,00;0,11
96,00;0,07
97,00;0,04
98,00;0,04
99,00;0,07
100,00;0,07
101,00;0,11
102,00;0,11
103,00;0,15
104,00;0,11
105,00;0,11
106,00;0,15
107,00;0,15
108,00;0,07
109,00;0,07
110,00;0,07
111,00;0,07
112,00;0,04
113,00;0,04
114,00;0,15
115,00;0,11
116,00;0,15
117,00;0,11
118,00;0,11
119,00;0,07
120,00;0,07
121,00;0,15
122,00;0,07
123,00;0,07
124,00;0,07
125,00;0,04
126,00;0,04
127,00;0,11
128,00;0,11
129,00;0,11
130,00;0,11
131,00;0,15
132,00;0,15
133,00;0,15
134,00;0,15
135,00;0,07
136,00;0,00
137,00;0,00
138,00;0,04
139,00;0,07
140,00;0,07
141,00;0,07
142,00;0,11
143,00;0,15
144,00;0,15
145,00;0,15
146,00;0,18
147,00;0,18
148,00;0,15
149,00;0,15
150,00;0,04
151,00;0,04
152,00;0,07
153,00;0,07
154,00;0,15
155,00;0,15
156,00;0,07
157,00;0,15
158,00;0,11
159,00;0,11
160,00;0,11
161,00;0,11
162,00;0,11
163,00;0,04
164,00;0,04
165,00;0,04
166,00;0,07
167,00;0,07
168,00;0,07
169,00;0,15
170,00;0,15
171,00;0,15
172,00;0,18
173,00;0,11
174,00;0,11
175,00;0,11
176,00;0,07
177,00;0,04
178,00;0,04
179,00;0,07
180,00;0,07
181,00;0,11
182,00;0,15
183,00;0,15
184,00;0,15
185,00;0,15
186,00;0,11
187,00;0,15
188,00;0,11
189,00;0,04
190,00;0,00
